250
120,77
118,6
84,99
129,5
237,42
71,26
215,65
8,48
202,47
138,96
103,27
18,52
242,95
210,41
38,81
132,57
73,21
43,69
66,29
112,75
173,32
136,100
183,24
82,77
238,60
201,79
208,84
58,37
205,33
225,19
147,84
145,18
229,71
190,35
72,7
83,97
12,82
166,8
107,45
64,30
77,16
152,59
185,23
48,86
90,54
17,86
47,86
180,59
211,21
121,63
74,93
181,6
65,97
106,95
91,47
207,59
127,53
200,74
11,6
63,67
231,25
96,27
105,35
135,8
143,81
9,62
226,91
247,68
104,10
219,95
162,93
203,62
21,11
146,49
240,9
172,40
235,88
35,53
130,99
86,89
49,94
193,91
178,94
110,25
158,73
179,18
45,78
53,69
55,95
175,70
150,74
101,88
56,35
163,100
76,36
102,34
133,62
60,29
206,23
157,23
113,79
141,79
223,79
194,66
161,69
243,76
246,36
114,24
191,100
46,6
216,21
164,38
70,36
37,80
24,10
25,80
213,82
57,34
189,64
19,14
5,85
54,23
220,52
33,88
22,64
28,71
14,51
239,52
187,69
155,35
192,84
131,81
85,21
148,39
139,38
16,31
97,21
111,15
119,91
134,20
75,85
149,24
27,57
140,25
188,85
10,26
233,54
224,41
195,36
160,91
