500
227,75
290,74
92,83
5,70
334,69
323,67
45,66
172,48
498,61
411,63
90,12
294,54
260,63
127,85
361,47
216,24
188,97
76,70
315,39
52,38
34,81
23,92
142,26
350,10
286,38
126,41
31,50
492,83
59,79
24,35
140,29
247,83
150,36
223,61
103,74
111,13
329,24
226,7
149,81
366,69
265,95
39,16
180,31
339,6
35,83
354,56
151,79
348,37
158,65
384,65
82,70
416,44
122,89
380,24
184,23
241,81
336,95
170,65
120,27
254,16
372,94
276,11
190,54
363,99
369,45
264,97
192,20
248,58
435,79
484,76
439,37
64,100
273,62
437,95
80,68
454,56
77,14
154,96
433,64
440,66
496,49
225,5
426,48
28,77
219,99
86,25
185,95
104,87
444,35
113,21
85,50
109,85
340,54
368,36
110,79
453,58
183,17
443,73
355,16
114,66
310,8
212,98
419,82
342,39
231,5
48,83
365,58
412,89
87,88
441,17
215,60
451,7
397,56
115,94
373,40
312,95
421,63
81,70
61,15
196,20
62,85
383,75
279,99
240,51
179,95
105,45
299,53
75,91
401,53
121,56
308,34
46,74
395,75
442,52
10,23
96,85
364,48
415,78
27,27
186,89
277,33
302,65
335,33
144,5
42,99
261,13
338,16
238,33
148,79
333,31
246,41
14,72
11,89
448,31
214,66
452,18
166,10
362,81
328,53
143,10
325,72
268,68
423,84
379,50
138,85
445,94
205,87
162,26
167,72
301,70
175,45
489,98
436,82
230,99
457,31
402,87
275,30
13,11
253,13
65,17
135,45
428,48
165,32
242,23
289,44
71,63
389,63
391,18
250,37
430,73
471,8
283,70
464,16
134,75
388,55
98,75
145,28
269,15
168,82
252,71
125,24
298,27
54,71
21,9
202,48
235,26
141,65
357,74
417,43
66,53
187,54
107,13
41,78
163,75
43,10
116,40
478,94
243,35
97,82
318,64
330,93
282,39
9,93
67,5
346,79
199,10
271,60
101,94
352,96
38,26
468,47
466,71
272,42
201,23
360,8
345,69
16,42
68,35
262,19
474,68
207,79
146,10
84,65
32,24
394,77
462,84
495,27
49,88
263,54
344,67
